Population Name	Population Code	Demographic Cluster	Latitude	Longitude	ph_mean	shell_thk
Fogarty Creek, OR	FC	N	44.84	-124.06	8.023377561	1.801197107
Seal Rock, OR	SLR	N	44.51	-124.08	8.016675575	1.758352318
Strawberry Hill, OR	SH	N	44.25	-124.11	8.013330447	1.715225361
Cape Arago, OR	ARA	N	43.30	-124.40	8.006025013	NA
Cape Blanco, OR	CBL	N	42.84	-124.56	7.987332623	1.677236687
Point Saint George, CA	PSG	N	41.77	-124.25	7.926713508	1.734608112
Shelter Cove, CA	STC	N	40.03	-124.08	7.957538759	1.844818925
Kibesillah Hill, CA	KH	N	39.60	-123.79	7.940880291	1.73532654
Van Damme, CA	VD	N	39.28	-123.80	7.937233951	1.615483995
Fort Ross, CA	FR	N	38.51	-123.26	7.933377415	1.961925234
Bodega Marine Reserve, CA	BMR	N	38.32	-123.07	7.923570354	1.738814502
Pigeon Point, CA	PGP	N	37.19	-122.40	7.941466321	1.517563421
Point Lobos, CA	PL	S	36.52	-121.95	7.941527015	1.487237983
Soberanes Point, CA	SBR	S	36.45	-121.93	7.946801475	1.567637305
Point Sierra Nevada, CA	PSN	S	35.73	-121.32	7.963869108	1.472519437
Piedras Blancas, CA	PB	S	35.67	-121.29	7.96609182	1.595566753
Hazards, CA	HZD	S	35.29	-120.88	7.948259634	2.206475463
Occulto, CA	OCT	S	34.88	-120.64	7.946165852	1.520675474
Stairs, CA	STR	S	34.73	-120.62	7.950069857	1.43192091
